ID_GiaoDich,NgayGiaoDich,ID_SanPham,TenSanPham,ID_KhachHang,KenhBanHang,KhuVuc,SoLuong,GiaBan,DoanhThu,ChietKhau,Thue,ThanhTien,HinhThucThanhToan,LoaiKhachHang,NhanVienBanHang,ThoiTiet,NhietDo,ChiPhi
1,2024-04-02 23:00:04,2,Number 1,21,Cửa hàng,Đồng Nai,5,40130.98,200654.9,0.1,20065.49,200654.9,Chuyển khoản,VIP,Emma,Nắng,32,80188.14
2,2024-01-11 17:04:38,6,Strongbow,1,Siêu thị,Bình Định,5,36307.41,181537.05,0.05,18.153.705,19.061.390.250.000.000,Thẻ,Thường xuyên,David,Mưa,23,156225.6
3,2024-04-04 10:20:50,8,Mirinda,41,Cửa hàng,Quảng Nam,6,38920.76,233524.56,0.0,2.335.245.600.000.000,256.877.016,Thẻ,Mới,Bob,Mưa,29,160103.31
4,2024-05-15 07:06:07,1,Oolong Tea Plus,42,Siêu thị,Thái Bình,10,12999.85,129998.5,0.05,12999.85,136.498.425,Thẻ,VIP,Alice,Nắng,27,75259.61
5,2024-03-09 10:26:28,4,Revive,2,Online,Long An,8,30413.49,243307.92,0.0,24.330.792,267.638.712,Tiền mặt,VIP,Alice,Nắng,21,54699.25
6,2023-12-10 13:01:32,1,Mirinda,29,Cửa hàng,Cần Thơ,1,43624.07,43624.07,0.0,4.362.407,47.986.477,Chuyển khoản,Thường xuyên,David,Mưa,29,9806.5
7,2023-08-04 07:04:49,1,7 Up,11,Cửa hàng,Bình Dương,3,38534.37,11.560.311.000.000.000,0.1,11.560.311.000.000.000,11.560.311.000.000.000,Thẻ,VIP,David,Nắng,27,16932.03
8,2024-05-13 21:00:30,10,Revive,37,Siêu thị,Quảng Nam,7,44470.78,311295.46,0.0,31.129.546,34.242.500.599.999.900,Tiền mặt,Mới,David,Âm u,23,246838.91
9,2023-12-25 06:06:26,8,Revive,50,Online,Bình Dương,9,18244.39,164199.51,0.0,16.419.951,180.619.461,Thẻ,Mới,Alice,Mưa,30,95382.18
10,2024-05-08 20:28:18,7,Revive,7,Online,Bình Định,10,21476.31,214763.1,0.05,21476.31,225.501.255,Tiền mặt,VIP,Emma,Nắng,21,143130.6
11,2024-06-11 12:28:31,10,Coca-Cola,35,Cửa hàng,Khánh Hòa,2,27651.6,55303.2,0.0,5530.32,60833.52,Tiền mặt,VIP,Carol,Mưa,31,6441.03
12,2024-04-11 23:53:48,1,Revive,30,Siêu thị,Quảng Nam,4,30930.81,123723.24,0.0,12.372.324,136.095.564,Thẻ,VIP,Alice,Nắng,23,108372.64
13,2023-10-28 20:58:39,2,Coca-Cola,16,Online,Nghệ An,4,20086.77,80347.08,0.0,8.034.708,88.381.788,Thẻ,VIP,Bob,Nắng,20,61542.18
14,2024-03-11 09:04:47,4,Mirinda,15,Online,Long An,7,25249.88,176749.16,0.0,17.674.916,194.424.076,Tiền mặt,VIP,Emma,Mưa,29,47699.52
15,2023-11-08 06:30:50,1,Number 1,40,Online,Cần Thơ,5,37482.4,187412.0,0.1,18741.2,187412.0,Tiền mặt,Mới,David,Nắng,34,46002.14
16,2024-03-11 23:18:05,3,Coca-Cola,20,Siêu thị,Nam Định,5,35815.9,179079.5,0.0,17907.95,196987.45,Thẻ,Mới,Bob,Âm u,26,44183.14
17,2023-10-03 03:17:32,8,Coca-Cola,28,Siêu thị,Bà Rịa - Vũng Tàu,7,14419.03,100933.21,0.0,10.093.321.000.000.000,111.026.531,Tiền mặt,Mới,Carol,Âm u,34,34659.84
18,2023-09-05 02:08:25,8,Revive,37,Cửa hàng,Ninh Bình,2,49429.09,98858.18,0.1,9.885.818,98858.18,Chuyển khoản,VIP,Carol,Âm u,33,51386.99
19,2023-12-17 22:19:27,8,Number 1,3,Siêu thị,Cần Thơ,8,32510.37,260082.96,0.0,26.008.296,286.091.256,Tiền mặt,Mới,Alice,Nắng,22,115881.53
20,2024-02-09 01:31:47,6,Revive,29,Online,Đồng Nai,6,29342.98,176057.88,0.1,17.605.788.000.000.000,176057.88,Chuyển khoản,Mới,Emma,Âm u,23,58624.34
21,2023-08-30 18:19:33,6,Mirinda,37,Cửa hàng,Long An,5,48690.85,243454.25,0.05,24.345.425,2.556.269.625,Tiền mặt,VIP,Bob,Âm u,22,143511.98
22,2023-09-17 02:34:37,5,Revive,9,Siêu thị,Đà Nẵng,1,15613.32,15613.32,0.0,1.561.332,17.174.652,Chuyển khoản,Thường xuyên,David,Âm u,27,3303.7
23,2023-08-17 03:29:29,9,Sting,27,Online,Đồng Nai,2,31747.48,63494.96,0.1,6.349.496,63494.96,Chuyển khoản,Mới,David,Mưa,34,21189.27
24,2023-10-23 16:29:11,4,C2,32,Online,Cần Thơ,6,42203.91,253223.46,0.05,25.322.346.000.000.000,26.588.463.300.000.000,Tiền mặt,VIP,Bob,Mưa,22,99539.48
25,2023-07-10 15:05:55,10,Mirinda,48,Cửa hàng,Ninh Bình,6,25956.55,155739.3,0.0,15.573.930.000.000.000,17.131.322.999.999.900,Chuyển khoản,VIP,Alice,Âm u,26,72396.35
26,2024-01-10 04:57:16,7,Pepsi,46,Cửa hàng,Long An,9,39452.92,355076.28,0.05,35.507.628,3.728.300.939.999.990,Tiền mặt,Mới,Bob,Nắng,21,258545.52
27,2023-07-24 01:09:12,1,Strongbow,50,Siêu thị,Khánh Hòa,6,45967.42,275804.52,0.0,27.580.452.000.000.000,303.384.972,Thẻ,Thường xuyên,Emma,Âm u,34,71637.2
28,2023-10-30 16:20:33,9,Strongbow,39,Siêu thị,TP. Hồ Chí Minh,1,20466.39,20466.39,0.1,2.046.639,20466.39,Tiền mặt,Mới,David,Mưa,29,10466.26
29,2023-09-12 23:56:29,7,Number 1,31,Cửa hàng,Hà Nội,7,19658.64,13.761.047.999.999.900,0.1,13.761.048,13.761.047.999.999.900,Tiền mặt,VIP,David,Nắng,28,78979.01
30,2024-06-24 16:49:24,10,Sting,47,Cửa hàng,Bình Dương,3,24427.78,73283.34,0.1,7.328.334.000.000.000,73283.34,Thẻ,VIP,Bob,Âm u,33,10051.57
31,2023-10-29 15:42:59,9,Coca-Cola,26,Online,Bình Dương,8,26738.08,213904.64,0.1,21.390.464.000.000.000,213904.64,Chuyển khoản,VIP,Alice,Âm u,25,125355.79
32,2023-10-25 03:17:28,7,Sting,40,Siêu thị,Hải Phòng,6,14441.89,86651.34,0.1,8.665.134.000.000.000,86651.34,Tiền mặt,VIP,Alice,Nắng,22,20486.05
33,2023-09-13 21:41:06,2,C2,3,Online,Đồng Nai,3,19251.79,57755.37,0.0,5.775.537.000.000.000,6.353.090.700.000.000,Tiền mặt,VIP,Carol,Mưa,30,8781.2
34,2023-11-09 14:38:10,6,Mirinda,11,Cửa hàng,Nam Định,3,44929.99,134789.97,0.1,13.478.997,134789.97,Chuyển khoản,VIP,Carol,Mưa,31,115799.2
35,2023-09-18 04:39:50,10,Number 1,29,Cửa hàng,Ninh Bình,8,32664.21,261313.68,0.0,26.131.368,287.445.048,Thẻ,VIP,Bob,Âm u,31,227997.66
36,2024-06-05 13:33:53,4,Sting,27,Cửa hàng,Nghệ An,6,20713.08,124278.48,0.0,12.427.848.000.000.000,136.706.328,Chuyển khoản,Mới,Bob,Mưa,34,92800.96
37,2023-12-09 15:32:03,3,7 Up,50,Siêu thị,Nghệ An,2,47744.73,95489.46,0.0,9.548.946.000.000.000,105.038.406,Thẻ,Thường xuyên,David,Âm u,33,32818.87
